Día,C,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging,sma_12,ema_12,sma_26,ema_26,MACD
2020-06-07,48485.79,0.0,1.186158682131534,48406.3935,48886.617528806295,47926.1694711937,48585.705,47933.53,47063.204999999994,44745.774999999994,50099.92,48579.075833333336,48561.73583333333,48147.84807692308,48168.49142011835,393.24441321498307
2020-06-08,48437.64,-0.0009930744657352664,1.184980738231999,48429.381,48867.045955794565,47991.71604420544,48561.630000000005,47933.53,47070.915,44753.485,50099.92,48573.35833333333,48557.31647435897,48182.45038461538,48192.43144970415,364.8850246548245
2020-06-09,48516.97,0.0016377759114605261,1.1869214711406202,48448.678499999995,48865.328393557575,48032.028606442414,48558.125,47933.53,47110.2325,44753.485,50099.92,48577.785833333335,48564.6832051282,48230.77807692309,48233.9149408284,330.7682642998043
2020-06-10,48587.64,0.0014566037409178278,1.1886503453956594,48471.5095,48865.198859273805,48077.820140726195,48558.125,47933.53,47139.0325,44957.28,50277.31,48569.62083333334,48579.30185897436,48284.86269230769,48285.679911242616,293.6219477317427
2020-06-11,48713.49,0.002590164906136616,1.1917291458059704,48503.5095,48864.97710225851,48142.04189774149,48575.565,47947.465,47139.0325,45330.495,50731.32,48571.943333333336,48591.75455128206,48343.78769230769,48350.80535502958,240.94919625247712
2020-06-12,48546.32,-0.003431698283165474,1.1876394909423098,48527.151,48829.44391522486,48224.85808477514,48575.565,48043.46,47139.0325,45560.735,50674.4,48560.335,48568.001282051286,48396.28307692308,48374.946508875735,193.0547731755505
2020-06-13,48546.32,0.0,1.1876394909423098,48550.792499999996,48768.9274854076,48332.65751459239,48575.565,48345.69,47170.8475,45560.735,50658.63,48553.105833333335,48558.178846153845,48441.394230769234,48419.36568047338,138.81316568046896
2020-06-14,48546.32,0.0,1.1876394909423098,48564.350999999995,48741.78105256445,48386.92094743554,48575.565,48393.49,47419.3675,45780.69,50237.57,48546.49833333333,48552.06185897436,48463.25692307692,48457.53665680474,94.52520216962148
2020-06-15,48585.39,0.0008047983863659347,1.1885953012882047,48571.45,48740.00195243156,48402.89804756844,48575.565,48393.49,47495.932499999995,45857.255,50237.57,48538.73,48552.48166666667,48480.73269230769,48482.04662721894,70.43503944772965
2020-06-16,48589.24,7.92419284891821e-05,1.188689487872072,48575.5995,48741.56518168871,48409.63381831128,48575.565,48393.49,47495.932499999995,46000.869999999995,50237.57,48543.89166666666,48546.50076923077,48498.356538461536,48497.42612426035,49.07464497041656
2020-06-17,48444.55,-0.0029778197806755724,1.1851497848020054,48574.634999999995,48743.41846444224,48405.85153555775,48579.020000000004,48393.49,47495.932499999995,46171.115,50397.06,48540.454999999994,48528.60833333333,48512.62807692308,48490.078609467455,38.529723865874985
2020-06-18,49059.44,0.012692655830222277,1.2001924831277593,48593.326,48861.85239568013,48324.79960431987,48751.995,48566.465,47600.1775,46171.115,50303.93,48588.25916666666,48620.29884615384,48550.54923076923,48596.75298816568,23.545857988159696
2020-06-19,49642.55,0.011885785895640044,1.2144577140157724,48641.1725,49173.81803873215,48108.52696126785,49043.55,48958.850000000006,47601.6875,46212.705,50327.47,48684.65583333333,48750.45775641025,48610.8976923077,48718.54934911243,31.908407297822123
2020-06-20,49642.55,0.0,1.2144577140157724,48689.019,49379.527016457905,47998.510983542095,49043.55,49040.095,47673.7525,46284.770000000004,50327.47,48785.065,48832.02416666666,48663.49,48769.61343195267,62.410734713994316
2020-06-21,49642.55,0.0,1.2144577140157724,48739.493,49545.53353309147,47933.45246690854,49043.55,49040.095,47805.88,46368.9,50129.58,48878.863333333335,48916.98576923077,48709.61076923076,48814.11461538461,102.87115384615754
2020-06-22,50159.25,0.010408409721096135,1.2270982874921943,48816.175,49831.4859892274,47800.8640107726,49301.9,49298.445,47988.41499999999,46400.32,50129.58,49009.83083333333,49075.8458974359,48773.187692307685,48932.632189349104,143.21370808679785
2020-06-23,49994.86,-0.003277361603293505,1.2230766426813002,48881.9875,50017.952656935755,47746.02234306425,49301.9,49298.445,48012.314999999995,46607.259999999995,50129.58,49116.611666666664,49161.37378205128,48832.07307692308,48961.1372781065,200.23650394478318
2020-06-24,50246.59,0.005035117610090234,1.2292349774233549,48967.952000000005,50237.44113852025,47698.46286147976,49345.57,49342.115,48102.0,46803.965,49887.77,49258.300833333335,49290.454487179486,48892.11038461538,49049.69106508876,240.76342209072754
2020-06-25,50109.62,-0.0027259561295600587,1.225884136801978,49049.1435,50391.33411998833,47706.95288001167,49345.57,49342.115,48102.0,47054.265,49940.42,49388.575833333336,49389.273012820515,48946.87961538462,49079.41955621301,309.8534566075032
